Deliverable type,Priority,Production Pipeline,Project Type,Task Count
0,2,0,0,2
0,3,0,0,4
0,2,0,0,1
0,2,0,0,54
0,1,13,2,12
0,1,12,2,14
0,3,13,0,36
0,1,13,2,18
0,2,0,0,8
0,3,21,0,21
0,3,11,0,14
0,3,0,0,8
0,3,11,2,11
0,3,0,0,16
0,1,14,2,14
0,3,21,0,17
0,3,21,2,13
0,3,21,2,17
0,3,13,0,1
0,3,29,0,4
0,3,0,0,4
0,3,0,0,25
0,3,6,0,7
0,3,0,0,4
0,2,5,0,16
0,3,6,2,63
0,3,29,2,13
0,2,0,0,4
0,2,14,0,23
0,2,12,0,3
0,2,17,0,5
0,3,29,2,10
0,1,0,0,8
0,1,0,0,5
0,2,17,0,10
0,3,21,2,12
0,3,0,0,10
0,3,0,0,15
0,3,0,0,29
0,4,17,0,4
0,1,0,0,1
0,3,0,0,1
0,4,6,2,26
0,2,0,0,4
0,2,28,0,13
0,2,0,0,4
0,3,29,0,4
0,2,14,0,10
0,2,25,0,1
0,3,14,0,15
0,3,17,0,13
0,3,0,0,1
0,2,6,0,11
0,1,27,0,120
0,1,0,0,1
0,3,6,0,68
0,3,0,0,4
0,3,17,0,14
0,3,11,2,18
0,3,11,2,22
0,2,0,0,3
0,2,11,2,9
0,3,29,0,30
0,2,29,2,15
0,3,0,0,1
0,3,0,0,1
0,3,0,0,18
0,3,17,0,13
0,2,21,0,19
0,3,9,0,40
0,2,25,0,35
0,2,19,0,12
0,3,12,0,9
0,3,21,0,7
0,3,0,0,8
0,3,17,0,15
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,3,13,0,12
0,2,17,0,28
0,2,0,0,28
0,3,13,0,16
0,2,0,0,6
0,2,29,0,15
0,3,14,0,14
0,3,17,2,39
0,3,14,0,6
0,2,0,0,17
0,2,29,0,7
0,3,20,0,1
1501,3,29,2,17
0,3,26,0,55
0,2,0,0,46
0,3,23,0,48
0,3,21,0,28
0,3,28,0,2
0,3,26,2,30
0,1,0,0,4
0,3,0,0,13
0,3,0,0,10
0,3,29,2,7
0,2,0,0,12
0,5,28,0,7
0,3,0,0,1
0,3,0,0,1
0,3,0,0,1
0,2,6,0,4
0,3,0,0,1
0,3,0,0,41
0,2,11,0,9
0,2,16,0,8
0,3,16,0,10
0,2,0,0,12
0,2,24,2,112
0,3,11,2,39
0,2,29,2,4
0,3,16,0,12
0,3,16,0,11
0,3,0,0,10
0,3,28,2,12
0,2,21,0,15
0,3,6,0,1
0,3,0,0,1
0,3,0,0,29
0,3,0,0,86
0,2,6,0,89
0,3,0,0,1
0,3,0,0,76
0,3,0,0,17
0,2,11,2,16
0,3,0,0,8
0,3,13,0,11
0,3,0,0,11
0,3,0,0,12
0,2,11,2,86
0,3,29,0,11
0,3,11,0,4
0,3,0,0,6
0,2,29,2,51
0,3,21,0,19
0,3,29,2,4
0,4,0,0,13
0,3,0,0,50
0,3,0,0,4
0,2,28,0,4
0,3,0,0,27
0,3,17,0,1
0,3,6,0,12
0,2,0,0,22
0,3,27,0,29
0,3,26,0,31
0,3,21,0,17
0,3,0,0,1
0,1,29,2,38
0,3,0,0,7
0,2,6,0,8
0,1,14,2,11
0,3,8,0,8
0,3,13,0,6
0,4,0,0,1
0,4,0,0,1
0,3,0,0,4
0,2,29,2,356
0,2,21,2,11
0,5,20,0,4
0,2,0,0,9
1002,3,0,1,1
0,4,9,0,1
0,3,0,0,4
0,2,0,0,6
0,1,0,0,3
0,3,0,0,4
0,3,0,0,63
0,2,0,0,1
0,3,0,0,4
0,3,26,0,41
0,2,21,0,12
0,2,21,0,15
0,3,11,0,4
0,3,0,0,6
0,3,0,0,1
0,5,0,0,4
0,3,11,0,4
0,2,0,0,7
0,3,0,0,4
0,2,0,0,4
0,2,0,0,1
0,2,14,0,29
0,2,30,2,180
0,2,30,0,32
0,2,28,0,9
0,2,25,0,17
0,2,0,0,1
0,2,0,0,1
1502,2,0,1,1
0,2,17,2,45
0,3,28,0,23
